Feature1,Feature2,Correlation,Notes
averagerating,roi_perc,0.21224469894575151,
averagerating,profit_proportion,0.2122446989134576,Higher ratings improve ROI; ensure high film quality.
isgenre_animation,scaled_domestic_gross,0.21054110457126923,
domestic_gross,isgenre_animation,0.21054110457126904,Animation films boost domestic gross; prioritize animation production.
isgenre_biography,isgenre_history,0.21007449943313689,
tn_production_budget,roi_perc,0.20725211936751323,
roi_perc,scaled_tn_production_budget,0.2072521193519422,
tn_production_budget,profit_proportion,0.20725211890443643,Higher production budgets are linked to ROI; optimize budget allocation.
profit_proportion,scaled_tn_production_budget,0.20725211888886452,
runtime_minutes,profit,0.19575196186358138,
runtime_minutes,scaled_profit,0.19575196136741088,
isgenre_sci-fi,scaled_profit,0.19521597243646385,
profit,isgenre_sci-fi,0.19521597165599977,Sci-fi films contribute to profit; invest in sci-fi genres.
isgenre_animation,scaled_foreign_gross,0.18728128862662427,
foreign_gross,isgenre_animation,0.1872812861214214,
isgenre_sci-fi,log_profit,0.18461636112589142,
isgenre_drama,isgenre_history,0.17552546676719266,
averagerating,tn_worldwide_gross,0.17447256363533903,
averagerating,scaled_tn_worldwide_gross,0.17447256352554902,
averagerating,profit,0.17264875591694623,
averagerating,scaled_profit,0.17264875579299116,
isgenre_sci-fi,isgenre_action,0.16220054715477572,
isgenre_crime,isgenre_action,0.16081696484197214,
averagerating,isgenre_biography,0.16029129602648268,
isgenre_animation,log_profit,0.15960054734165205,
tn_production_budget,isgenre_animation,0.1544161022275682,
isgenre_animation,scaled_tn_production_budget,0.15441610192157082,
isgenre_thriller,isgenre_horror,0.15357091183382407,
averagerating,isgenre_documentary,0.1523139668912097,
tn_production_budget,isgenre_fantasy,0.1503542577388167,
isgenre_fantasy,scaled_tn_production_budget,0.15035425734415103,
isgenre_comedy,isgenre_animation,0.14223964805656983,
averagerating,log_profit,0.14086142606876426,
runtime_minutes,roi_perc,0.13776874187960358,
runtime_minutes,profit_proportion,0.13776874116998064,
averagerating,scaled_tn_production_budget,0.13649605981162194,
averagerating,tn_production_budget,0.1364960597207991,
runtime_minutes,isgenre_history,0.13403585408978771,
isgenre_fantasy,isgenre_adventure,0.13364726890761436,
profit_proportion,isgenre_adventure,0.13132575912091152,
roi_perc,isgenre_adventure,0.13132575879142241,
isgenre_thriller,isgenre_mystery,0.13097338791943583,
isgenre_sport,isgenre_biography,0.12984701720501568,
isgenre_animation,scaled_tn_worldwide_gross,0.1275392791017382,
tn_worldwide_gross,isgenre_animation,0.1275392773997046,
foreign_gross,isgenre_fantasy,0.123908020392247,
isgenre_fantasy,scaled_foreign_gross,0.12390802037971477,
isgenre_romance,isgenre_drama,0.12184333116101002,
isgenre_adventure,isgenre_family,0.12150599333667947,
isgenre_comedy,isgenre_romance,0.11743811538093878,
tn_worldwide_gross,isgenre_fantasy,0.11648686832224675,
isgenre_fantasy,scaled_tn_worldwide_gross,0.11648686777761719,
isgenre_fantasy,log_profit,0.11159255423915725,
isgenre_animation,scaled_profit,0.10863372186732091,
profit,isgenre_animation,0.10863372015717422,
runtime_minutes,isgenre_biography,0.10668525686334544,
domestic_gross,isgenre_family,0.10602440382262104,
isgenre_family,scaled_domestic_gross,0.10602440382262088,
isgenre_sci-fi,isgenre_adventure,0.10491905575317208,
isgenre_fantasy,isgenre_family,0.10015920971066919,
isgenre_romance,isgenre_horror,-0.10140917076555883,
isgenre_horror,scaled_tn_production_budget,-0.10206011101158236,
tn_production_budget,isgenre_horror,-0.10206011108383893,
domestic_gross,isgenre_horror,-0.10294364121610369,
isgenre_horror,scaled_domestic_gross,-0.10294364121610378,
isgenre_biography,isgenre_horror,-0.10417848447363832,
start_year,roi_perc,-0.1042246703217116,
start_year,profit_proportion,-0.1042246703946399,
isgenre_comedy,scaled_foreign_gross,-0.10472126667779418,
foreign_gross,isgenre_comedy,-0.10472126676773465,
isgenre_horror,scaled_foreign_gross,-0.10576055777478832,
foreign_gross,isgenre_horror,-0.10576055782673216,
isgenre_fantasy,isgenre_drama,-0.1058200909756198,
isgenre_fantasy,isgenre_thriller,-0.10728642024355096,
isgenre_fantasy,isgenre_crime,-0.10728642024355116,
isgenre_adventure,isgenre_history,-0.10900582330046908,
foreign_gross,isgenre_crime,-0.10949447628766522,
isgenre_crime,scaled_foreign_gross,-0.10949447664864524,
isgenre_drama,isgenre_horror,-0.11117016118654792,
isgenre_adventure,isgenre_biography,-0.11134402394153595,
isgenre_romance,scaled_tn_production_budget,-0.11151229114887641,
tn_production_budget,isgenre_romance,-0.11151229129397022,
isgenre_romance,isgenre_thriller,-0.11230926041880945,
domestic_gross,isgenre_crime,-0.11234697700476116,
isgenre_crime,scaled_domestic_gross,-0.1123469770047616,
isgenre_crime,isgenre_animation,-0.11239134533573127,
isgenre_horror,isgenre_action,-0.11405779967904062,
isgenre_thriller,isgenre_biography,-0.11435854012078754,
isgenre_biography,scaled_domestic_gross,-0.11473259371276427,
domestic_gross,isgenre_biography,-0.11473259371276433,
isgenre_documentary,isgenre_action,-0.11499331824666145,
isgenre_thriller,isgenre_animation,-0.1161721739705847,
isgenre_music,isgenre_action,-0.11635682014599974,
isgenre_romance,scaled_domestic_gross,-0.11666571694975203,
domestic_gross,isgenre_romance,-0.1166657169497524,
tn_domestic_gross,isgenre_romance,-0.11751633002809862,
tn_domestic_gross,isgenre_crime,-0.11894966045533939,
isgenre_comedy,isgenre_sci-fi,-0.11982185609777149,
runtime_minutes,isgenre_horror,-0.12149749190718759,
isgenre_comedy,isgenre_documentary,-0.12401184191155484,
isgenre_drama,isgenre_thriller,-0.12484495134431367,
tn_domestic_gross,isgenre_biography,-0.12576823492618616,
isgenre_action,isgenre_mystery,-0.12682209920833012,
isgenre_drama,log_profit,-0.12768581077142954,
tn_domestic_gross,isgenre_horror,-0.12936798724188497,
foreign_gross,isgenre_romance,-0.12969038057939483,
isgenre_romance,scaled_foreign_gross,-0.12969038131487698,
runtime_minutes,isgenre_comedy,-0.13021312161897114,
isgenre_romance,isgenre_crime,-0.13102135542488352,
isgenre_sci-fi,isgenre_drama,-0.13284972218069668,
isgenre_family,isgenre_action,-0.13303901093856824,
isgenre_adventure,isgenre_mystery,-0.13543192357219233,
isgenre_comedy,isgenre_biography,-0.13791470365453032,
isgenre_adventure,isgenre_horror,-0.13837017294456352,
isgenre_comedy,isgenre_horror,-0.1398430328376859,
isgenre_adventure,isgenre_thriller,-0.14277455777493966,
isgenre_comedy,isgenre_mystery,-0.14314179418470463,
isgenre_crime,isgenre_adventure,-0.1474775665168277,
isgenre_biography,isgenre_action,-0.1482719257129103,
isgenre_comedy,isgenre_history,-0.15039438737295616,
isgenre_drama,scaled_profit,-0.15469520055605804,
profit,isgenre_drama,-0.15469520093079075,
foreign_gross,isgenre_biography,-0.15666012343972552,
isgenre_biography,scaled_foreign_gross,-0.15666012400143903,
isgenre_romance,isgenre_adventure,-0.16146148812955122,
isgenre_comedy,isgenre_action,-0.1668762913729477,
averagerating,isgenre_horror,-0.16941759510945598,
isgenre_documentary,log_profit,-0.17334606048645154,
isgenre_drama,scaled_tn_worldwide_gross,-0.17687669379419296,
tn_worldwide_gross,isgenre_drama,-0.17687669390608482,
isgenre_romance,isgenre_action,-0.19092508020702378,
isgenre_drama,isgenre_documentary,-0.19320058536265922,
isgenre_drama,scaled_tn_production_budget,-0.20158173110978228,
tn_production_budget,isgenre_drama,-0.20158173130256798,Drama films tend to have lower budgets; plan budget allocation accordingly.
runtime_minutes,isgenre_animation,-0.20285720680391522,
runtime_minutes,isgenre_documentary,-0.20371263602985346,Documentary films tend to have shorter runtimes; plan runtime strategies.
isgenre_drama,isgenre_action,-0.22221822308203645,
isgenre_comedy,isgenre_drama,-0.231247112305201,
isgenre_drama,isgenre_animation,-0.23882410224266146,
isgenre_comedy,isgenre_thriller,-0.24781644220102786,
tn_domestic_gross,isgenre_drama,-0.27470206972510575,Drama films tend to perform lower in domestic markets; strategize accordingly.
isgenre_drama,scaled_domestic_gross,-0.292429372394583,
domestic_gross,isgenre_drama,-0.29242937239458305,Drama films have lower domestic gross; consider market preferences.
foreign_gross,isgenre_drama,-0.3053719290148841,Drama films have lower foreign gross; adjust international marketing strategies.
isgenre_drama,scaled_foreign_gross,-0.3053719307482196,
isgenre_drama,isgenre_adventure,-0.32206977302332934,
